id,city,locality,bedroom_num,latitude,longitude,post_date,price,title,type,user_type,
45349857,Mumbai,Malad West,1,19.20133591,72.82588196,11-01-2020,9000,1 BHK Apartment for Rent in Malad West,Apartment,Agent,"2 Bath,Unfurnished,East facing The project has 1 elevator for residents in a tower. There is No/Rare Powercut 24 Hours Available water supply."
45960973,Mumbai,Vasai,1,19.41070368,72.83359245,11-01-2020,8060,"1 BHK Apartment for Rent in Veena Dynasty, Vasai",Apartment,Agent,"2 Bath,Semi-Furnished,East facing A 1BHK apartment is available for rent in vasai east mira road and beyond. This apartment is on the 7th of 7 floors in veena dynasty. This 15 year old property has a super builtUp area of 652 sq. Ft. This is an unfurnished apartment.This apartment comes with 2 bathrooms. The apartment with 2 balconiesIs available to only families.It is a fengShuivaastu compliant property. The apartment with ceramic flooring. This is an east facing apartment. With features like intercom facility lifts maintenance staff park securityfire alarm and water storage the society offers a convenient living. It also has other features like waste disposal.This property is in a gated society and has full power back up. The society has various amenities like security personnel and park.The expected monthly rental is rs. 8060. Some of the additional costs include security of rs. 40K Fixed. The brokerage amount is rs 8k FixedThe booking amount is rs. 5K."
46688849,Mumbai,Virar,1,19.46703238,72.80161155,13-12-2019,8000,"1 BHK Apartment for Rent in Agarwal Lifestyle, Virar",Apartment,Agent,"2 Bath,Semi-Furnished,4 floor,West facing A beautiful 1 bhk apartment in Virar West, Mira Road And Beyond. The property is a part of agarwal lifestyle . It is a resale property in a promising locality. This welldesigned new property is ready to move in. It is located on the 4th floor. The property ownership is freehold type and has a super builtup area of 635 Sq. Ft.ready to move"
44696119,Mumbai,Vasai East,1,19.40725708,72.83600616,13-01-2020,8000,1 BHK Apartment for Rent in Vasai East,Apartment,Agent,"2 Bath,Semi-Furnished,East facing Essential Services/ Commercial: Market, D-Mart, Multiplex, Marriage Hall,Banquets,Showrooms,Malls,Factory Outlets,Gyms  Private & Public Sector Banks & ATMs, Branded Food Outlets, Multispecialty Hospitals and Dispensaries within a radius of 1 Km.Travel and commuting: Railway Station at 2.5 Kms with commuting time of 15 minutes from Society/Complex to Railway Station. VVCMC Bus Service (Public Transport) and Sharing Auto available outside the Society/Complex Gate."
46742851,Mumbai,Naigaon East,1,19.3602151,72.85016654,17-12-2019,9000,"1 BHK Apartment for Rent in Mittal Enclave, Naigaon East",Apartment,Owner,"1 Bath,Furnished,2 floor,North facing 24 hours municipal water supply ."
43475883,Mumbai,Virar West,1,19.470536,72.808309,13-01-2020,8000,"1 BHK Apartment for Rent in Poonam Park View, Virar West",Apartment,Agent,"2 Bath,Unfurnished,9 floor,North - East facing The Property is located at the Heart of Global City. Close by to School, College, Shopping Mall, Auto Stand Etc.Its a 1BHK Spacious & Luxuries Flat In Virar (W)."
47305327,Mumbai,Virar,1,19.46825836,72.80061282,13-01-2020,8500,"1 BHK Apartment for Rent in Evershine Homes, Virar",Apartment,Agent,"2 Bath,Furnished,4 floor,East facing This is a well apppointed spacious Home situated in Violet at Evershine homes, Virar West. Each tower offers 2 lifts for convienence. . With 1 room and 2 spacious bathrooms, theTile is used on floors. The well ventilated Home has modern amenities like  Reserved Parking, Power Back Up,  and Jogging and Strolling Track.  Home is SemiFurnished. is the all value for this Home."
46554615,Mumbai,Royal Palms Estate,1,19.15117073,72.89089203,09-01-2020,10000,1 BHK Apartment for Rent in Royal Palms Estate,Apartment,Agent,"1 Bath,Unfurnished,2 floor,East facing Royal palms estate is 240 acres complex surrounded with all green zone areas more than 50 buildings are there with commercial complex and residential complex,it's hardly 13 minutes away from the goregaon  station,15 minutes from the marol metro shed, and 20 minutes from the  international airport, 25 minutes from domestic airport,schools, hospitals colleges  is nearby the complex,fifteen thousand families and 8 thousand tenants are already stying in the complex,zero pollution with good atmosphere."
46631245,Mumbai,Virar,1,19.4714205,72.80088036,10-01-2020,9000,"1 BHK Apartment for Rent in Bhavani Heights, Virar",Apartment,Agent,"2 Bath,Furnished,11 floor,East facing good flat for residential purpose"
46066485,Mumbai,Virar West,1,19.4540596,72.76882172,15-11-2019,8000,1 BHK Apartment for Rent in Virar West,Apartment,Agent,"1 Bath,Semi-Furnished,2 floor  The flat also has a Study, Store. "
